"Server","File","TimeCreated","Line"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:11:36 PM","2026-07-22 21:11:36.25 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:11:36 PM","2026-07-22 21:11:36.25 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:16:36 PM","2026-07-22 21:16:36.28 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:16:36 PM","2026-07-22 21:16:36.28 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:21:36 PM","2026-07-22 21:21:36.44 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:21:36 PM","2026-07-22 21:21:36.44 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:26:36 PM","2026-07-22 21:26:36.48 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:26:36 PM","2026-07-22 21:26:36.48 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:31:36 PM","2026-07-22 21:31:36.50 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 9:31:36 PM","2026-07-22 21:31:36.50 Logon       Error: 18456, Severity: 14, State: 5."
